rank,timestamp,seconds,count,segment
1,2:07:00,7620,644,Just Chatting
2,3:16:00,11760,622,Just Chatting
3,2:06:00,7560,620,Just Chatting
4,4:03:00,14580,620,Just Chatting
5,4:09:00,14940,617,Just Chatting
6,2:08:00,7680,615,Just Chatting
7,3:26:00,12360,604,Just Chatting
8,2:16:00,8160,594,Just Chatting
9,3:50:00,13800,589,Just Chatting
10,3:44:00,13440,587,Just Chatting
11,0:35:00,2100,582,Just Chatting
12,1:32:00,5520,573,Just Chatting
13,3:05:00,11100,566,Just Chatting
14,0:53:00,3180,564,Just Chatting
15,3:36:00,12960,564,Just Chatting
